"Código do Produto";"Nome Mercadoria";"Qtde Vendida";"Vlr Diferença";"Acumulado";"%Part";"%Acu";"Valor Unitario";"Pos";"%Prod";"Classe"
"4310      ";"ARM ACE ANA HICK 52";"134,0000";"62.907,46";"62.907,46";"44,76";"44,76";"645,85";"1";"17,10";"A"
"5010      ";"ARM ACET RAY BAN 121";"67,0000";"38.954,94";"101.862,40";"27,72";"72,47";"703,36";"2";"8,55";"B"
"4311      ";"ARM ACE ANA HICK 53";"71,0000";"38.547,47";"140.409,87";"27,43";"99,90";"748,72";"3";"9,06";"C"
"4001      ";"VS LENTE XPERIO ORMA DIGITA CRIZAL FORTE";"10,0000";"9.450,00";"149.859,87";"6,72";"106,62";"945,00";"4";"1,28";"C"
"4313      ";"ARM ACE ANA HICK 55";"8,0000";"3.939,87";"153.799,74";"2,80";"109,43";"678,33";"5";"1,02";"C"
"6694      ";"BOTAO";"120,0000";"2.600,00";"156.399,74";"1,85";"111,28";"21,66";"6";"15,31";"C"
"4312      ";"ARM ACET ANA HICK 54";"2,0000";"1.108,40";"157.508,14";"0,79";"112,07";"760,00";"7";"0,26";"C"
"4062      ";"ARM SOLAR METAL MICHAEL KORS 06";"2,0000";"736,00";"158.244,14";"0,52";"112,59";"550,00";"8";"0,26";"C"
"4012      ";"ARM SOLAR YVI SANTINI";"4,0000";"672,00";"158.916,14";"0,48";"113,07";"188,00";"9";"0,51";"C"
"1         ";"MULTI ARGOS 18 TRANS 5,75 ADD 2,50 R";"1,0000";"578,34";"159.494,48";"0,41";"113,48";"714,00";"10";"0,13";"C"
"5766      ";"BI FLAT TOP TRANS ACC ADD 2,50";"3,0000";"542,37";"160.036,85";"0,39";"113,86";"260,00";"11";"0,38";"C"
"5040      ";"ARM METAL TECNOL 135";"2,0000";"497,43";"160.534,28";"0,35";"114,22";"303,01";"12";"0,26";"C"
"3011      ";"ARM METAL OSLO 09";"2,0000";"380,00";"160.914,28";"0,27";"114,49";"240,00";"13";"0,26";"C"
"4051      ";"ARM SOLAR ACET MICHAEL KORS 04";"1,0000";"368,00";"161.282,28";"0,26";"114,75";"550,00";"14";"0,13";"C"
"6734      ";"AMPLUS POLI SENSITY BlueControl / LONGLi";"33,0000";"361,00";"161.643,28";"0,26";"115,01";"10,93";"15";"4,21";"C"
"5050      ";"ARM SOLAR METAL JONNY IGLESIAS 01";"2,0000";"326,00";"161.969,28";"0,23";"115,24";"198,00";"16";"0,26";"C"
"5051      ";"ARM SOLAR ACET JONNY IGLESIAS 01";"2,0000";"326,00";"162.295,28";"0,23";"115,47";"198,00";"17";"0,26";"C"
"2         ";"VS LENTE POLY INCOLOR -0,50 -2,75";"3,0000";"269,07";"162.564,35";"0,19";"115,66";"100,00";"18";"0,38";"C"
"3203      ";"LENTE G15";"2,0000";"242,36";"162.806,71";"0,17";"115,84";"150,00";"19";"0,26";"C"
"6687      ";"ARGOS 1.50 NO-Risk";"99,0000";"228,00";"163.034,71";"0,16";"116,00";"2,30";"20";"12,63";"C"
"134       ";"MULTI ARGOS 14 4,50 ADD 1,50 R";"1,0000";"216,00";"163.250,71";"0,15";"116,15";"216,00";"21";"0,13";"C"
"7512      ";"AA";"21,0000";"210,00";"163.460,71";"0,15";"116,30";"10,00";"22";"2,68";"C"
"6741      ";"TECIDO";"21,6000";"190,80";"163.651,51";"0,14";"116,44";"8,83";"23";"2,76";"C"
"2940      ";"BI FLAT TOP CR 6,00 ADD 3,00 R";"5,0000";"135,66";"163.787,17";"0,10";"116,53";"35,23";"24";"0,64";"C"
"604       ";"VS LENTE RESINA INCOLOR +2,50 -0,25";"3,0000";"107,40";"163.894,57";"0,08";"116,61";"39,30";"25";"0,38";"C"
"602       ";"VS LENTE RESINA INCOLOR +2,25 -1,75";"3,0000";"100,88";"163.995,45";"0,07";"116,68";"39,30";"26";"0,38";"C"
"905       ";"VS LENTE RESINA ANTI REFLEXO +1,00 -2,00";"2,0000";"54,78";"164.050,23";"0,04";"116,72";"38,57";"27";"0,26";"C"
"6723      ";"A PRODUTO ACABADO";"52,0000";"52,38";"164.102,61";"0,04";"116,76";"1,00";"28";"6,64";"C"
"6733      ";"AMPLUS POLI HARD(antirrisco)";"5,0000";"50,00";"164.152,61";"0,04";"116,79";"10,00";"29";"0,64";"C"
"6724      ";"AMPLUS 1.50 CleanExtra";"5,0000";"45,00";"164.197,61";"0,03";"116,83";"9,00";"30";"0,64";"C"
