"Código do Produto";"Nome Mercadoria";"Qtde Vendida";"";"Acumulado";"%Part";"%Acu";"Valor Unitario";"Pos";"%Prod";"Classe"
"4310      ";"ARM ACE ANA HICK 52";"134,0000";"86.545,06";"23.637,6000";"62.907,46";"86.545,06";"39,84";"645,85";"1";"17,10";"A"
"4311      ";"ARM ACE ANA HICK 53";"71,0000";"53.159,27";"14.611,8000";"38.547,47";"139.704,33";"24,47";"748,72";"2";"9,06";"B"
"5010      ";"ARM ACET RAY BAN 121";"67,0000";"47.125,59";"8.170,6500";"38.954,94";"186.829,92";"21,69";"703,36";"3";"8,55";"C"
"4001      ";"VS LENTE XPERIO ORMA DIGITA CRIZAL FORTE";"10,0000";"9.450,00";"0,0000";"9.450,00";"196.279,92";"4,35";"945,00";"4";"1,28";"C"
"4313      ";"ARM ACE ANA HICK 55";"8,0000";"5.426,67";"1.486,8000";"3.939,87";"201.706,59";"2,50";"678,33";"5";"1,02";"C"
"1367      ";"ARM ACE IODICE 06";"66,0000";"3.002,00";"17.985,0000";"-14.983,00";"204.708,59";"1,38";"45,48";"6";"8,42";"C"
"6694      ";"BOTAO";"120,0000";"2.600,00";"0,0000";"2.600,00";"207.308,59";"1,20";"21,66";"7";"15,31";"C"
"4312      ";"ARM ACET ANA HICK 54";"2,0000";"1.520,00";"411,6000";"1.108,40";"208.828,59";"0,70";"760,00";"8";"0,26";"C"
"4062      ";"ARM SOLAR METAL MICHAEL KORS 06";"2,0000";"1.100,00";"364,0000";"736,00";"209.928,59";"0,51";"550,00";"9";"0,26";"C"
"5766      ";"BI FLAT TOP TRANS ACC ADD 2,50";"3,0000";"780,00";"237,6300";"542,37";"210.708,59";"0,36";"260,00";"10";"0,38";"C"
"4012      ";"ARM SOLAR YVI SANTINI";"4,0000";"752,00";"80,0000";"672,00";"211.460,59";"0,35";"188,00";"11";"0,51";"C"
"1         ";"MULTI ARGOS 18 TRANS 5,75 ADD 2,50 R";"1,0000";"714,00";"135,6600";"578,34";"212.174,59";"0,33";"714,00";"12";"0,13";"C"
