"CPR     ";"TPCOBRPGTOHAVER";"Tipo de cobrança parcela de haver";"1";"Tipo de cobrança utilizado para lançar a parcela de haver";"N";" ";0
"CPR     ";"SNBOLQUITADOWS ";"Enviar Boletos Quitados";"N";"Este parâmetro indica se no webservice da Metanet será enviado ou não boletos quitados";"S";" ";0
"CPR     ";"DTENVIOREMCONC ";"Ultima Data Envio Remessa Conciliadora";"";"Data do ultimo envio da remessa de contas para a conciliadora de cartões";"D";" ";0
"CPR     ";"LANCREAJUSTEREC";"Lançamentos Reajuste Recibo";"";"Pode ser informado os códigos referentes aos lançamentos de reajuste que devem ser considerados na emissão do recibo. Informar os códigos separados por ; Ex: 1;5;150;3;4;";"C";" ";0
"CPR     ";"ALTCLIENTEPARC ";"Alterar Cliente da Parcela";"S";"Deve ser preenchido com "S" caso não seja permitido alterar o Cliente do Registro da Conta";"S";" ";0
"CPR     ";"SNFILIALBAIXA  ";"Consistir Filial da Conta com filial do Caixa/Banc";"N";"Se preenchido com "S" a filial da conta a ser baixada deverá ser igual à filial do Caixa/Banco onde o lançamento será efetuado. Essa consistência é feita na tela  de baixa de conta a pagar e conta a receber.";"S";" ";0
"CPR     ";"SNEXIFILCAIBAN ";"Exigir Filial no Cadastro do Caixas/Bancos";"N";"Deve ser preenchido com "S" se for para exigir o  código  na  filial  no  cadastro  deCaixas/Bancos ou com "N" para não exigir.";"S";" ";0
"CPR     ";"TAMANHOOBSCONTA";"Tamanho da Observação do Contas/Lançamento Caixa e";"0";"Tamanho máximo permitido para a digitação da Observação da Conta e do Lançamento do Caixas e Bancos.Obs:.Caso esteja com 0 (zero) o programa não fará a consistência.";"C";" ";0
"CPR     ";"SNPROCESSOCONTA";"Utiliza controle de Processo?";"N";"Deve ser preenchido com "S" para a empresa que controla processo. Caso  este  campoesteja preenchido com "S" será solicitado na tela de registrar contas o número e anodo processo, tipo e número do convênio.";"S";" ";0
"CPR     ";"SNDEVOLUCAOCXA ";"Lançar a Devolução de Cheque";"S";"Deve ser preenchido com "S" para lançar a devolução de cheque no Banco ou com "N" para não lançar";"C";" ";0
"CPR     ";"DTSUSPENSAOAUT ";"Data da última suspensão automática de clientes";"";"Determina a data em que foi executada a última execução automática de clientes";"D";" ";0
"CPR     ";"NATUREZAPAGDES ";"Natureza Desconto Padrão Contas a Pagar";"";"Código da natureza padrão para listar os lançamentos de desconto das contas a pagar no relatório estatística por centro de custo.";"C";" ";0
"CPR     ";"SNCONTASRECEBER";"Trabalha com Contas a Receber";"S";"Deve ser preenchido com "S" para a empresa que trabalha com contas a receber  ou  com  "N"para a empresa que não controla contas a receber.";"S";" ";0
"CPR     ";"SNSABADOUTIL   ";"Considerar Sábado como Dia Útil";"S";"Deve ser preenchido com "S" para considerar sábado como dia útil. Utilizado no registro da conta se o parâmetro SNADVERTVENUTIL estiver com "S".";"S";" ";0
"CPR     ";"SNLANCHISTBAIXA";"Efetuar lancmto caixas/bancos histórico de baixa";"N";"Efetuar lançamento no caixas/bancos com histórico de baixa";"C";" ";0
"CPR     ";"DTSUSVENANT    ";"Suspender Vencidos Anteriores a ...";"";"Esta opção é utilizada como critério para suspensão de clientes em atraso. Se refere à quantidade de dias a partir do vencimento para suspensão dos clientes.";"D";" ";0
"CPR     ";"SNMOVEDTACEITE ";"Trazer data do sistema para data do aceite?";"S";"Este campo é utilizado nas telas "Aceite Contas a Pagar" e "Aceite Contas a Receber"Se preenchido com "S" o programa deverá trazer a data do sistema para data do aceite.";"S";" ";0
"CPR     ";"REGIAOVENDED   ";"Classificação padrão para Região do Vendedor";"";"Pode ser preenchido com o código da classificação padrão para região do vendedor.";"C";" ";0
"CPR     ";"SNRELREGCXABCO ";"Emitir Relatório no Registro de Lançamentos Caixas";"N";"Deve ser preenchido com "S" ou "N" para emitir ou não relatório no registro de lançamento do caixas/bancos.";"S";" ";0
"CPR     ";"DIRRETORNOREC  ";"Diretório Retorno Contas a Receber";"/usr/local/apache-tomcat/webapps/valimreal/";"Esse parâmetro é utilizado em todo o sistema para indicar onde está os retornos bancários das contas a receber da empresa. Obs: E OBRIGATORIO COLOCAR A / NO FINAL.";"C";" ";0
"CPR     ";"DIREXTRATO     ";"Diretório de Extrato Bancário";"/usr/local/apache-tomcat/webapps/valimreal/";"Esse parâmetro é utilizado em todo o sistema para indicar onde está os extratos bancários da empresaObs: E OBRIGATORIO COLOCAR A / NO FINAL.";"C";" ";0
"CPR     ";"CAIXAGERAL     ";"Código do Caixa da Tesouraria";"";"Deve ser informado o código do caixa da tesouraria onde será transferido os saldos dos caixas no fechamento de caixa.";"N";" ";0
"CPR     ";"TPCONSLIMITE   ";"Tipo Consistência do Limite de Crédito";"N";"Esta opção se refere ao tipo de consistência do limite de crédito do cliente os valores válidos para esta opção são: N - para não fazer nenhuma verificação para o limite de crédito do cliente; S - para consistir de acordo com o Tipo de Permissão. Se for para verificar o limite de crédito do cliente a opção "TPCHELIMITE" deve estar preenchida.";"C";" ";0
"CPR     ";"FORMAPAGTOHAVER";"Forma de pagamento parcela de haver";"15";"Forma de pagamento utilizada para lançar a parcela de haver";"N";" ";0
"CPR     ";"SNALTERAACRESC ";"Permite Alterar Acréscimo de Conta";"S";"Se esta opção estiver preenchida com "S" durante a baixa das contas será permitido alterar as taxas de juros e multa para o cálculo do valor a ser pago. E do contrário seram considerados sempre as taxas definidas no parâmetro da empresa.";"S";" ";0
"CPR     ";"SNSUSPENSAOAUT ";"Suspensão automática clientes";"N";"Determina se ao entrar no sistema será realizada a suspensão automática dos clientes em atraso. Os clientes e as contas serão selecionados de acordo com as opções registradas no programa de suspensão de clientes em atraso";"C";" ";0
"CPR     ";"SNACEITEPAG    ";"Exige Aceite de Conta a Pagar";"N";"Se esta opção estiver preenchida com "S" o usuário só poderá efetuar baixa de contas a pagar que possuem data de aceite ou se o usuário tiver permissão para registrar o aceite das contas a pagar(Esta permissão é registrada no cadastro de permissões do usuário). Se estiver preenchida com "N" não será verificado a data de aceite da conta durante a baixa.";"S";" ";0
"CPR     ";"MODRECIBOCPAG  ";"Modelo de Recibo para Conta a Pagar";"2";"Deve ser preenchido com o código do modelo de recibo que deve ser impresso quando for efetuada uma baixa de conta a pagar. Utilizado na baixa de conta a pagar quando é emitido recibo.";"N";" ";0
"CPR     ";"SNCARLIMCREDITO";"Cartão de crédito entra limite de crédito";"N";"Determina se as contas de cartão de crédito devem compor ou não a soma das contas em aberto do cliente para comparar com o limite de crédito.";"S";" ";0
"CPR     ";"SNBOLETORENEG  ";"Geração automática de boleto na renegociação";"N";"Deve ser "S" ou "N" para gerar boleto automático pela tela de renegociação.";"S";" ";0
"CPR     ";"VALORLIVRECONTA";"Descrição Campo Valor Livre da Conta";"";"É utilizado para apresentar na tela de registro e alteração da conta um campo livrepara digitação de alguma informação adicional.";"C";" ";0
"CPR     ";"DTCBCFECHAMENTO";"Dia de Fechamento Caixas/Bancos";"";"Pode ser preenchido com a data do fechamento do caixas/bancos. Se informado o sistemanão permitirá registrar lançamentos de caixas/bancos anteriores a esta data.O formato do campo é DD/MM/AAAA.";"D";" ";0
"CPR     ";"ALTFORNECPARC  ";"Alterar Fornecedor da Parcela";"S";"Deve ser preenchido com "S" caso não seja permitido alterar o Fornecedor do Registro da Conta";"S";" ";0
"CPR     ";"INTEGCBLREGIST ";"Efetuar Integração Contabilidade Reg/Alter Lançame";"N";"Este campo deve ser preenchido com "S" se a integração com o sistema de contabilidade for realizada durante o registro ou alteração dos lançamentos das contas pagar/receber e dos caixas/bancos.";"S";" ";0
"CPR     ";"EMPCONCILIADORA";"Código da Empresa na Conciliadora";"";"Deve ser preenchido com o código em que a empresa esta registrada na conciliadora";"C";" ";0
"CPR     ";"OCOTIPOCOBRANCA";"Código da Ocorrência de alteração de tipo de cobra";"";"É utilizado para armazenar as alterações de tipo de cobrança das contas a   pagar econtas a receber. Neste campo deve ser preechido com o código da  ocorrência  para guardar a alteração de tipo de  cobrança.  As  ocorrências  das  contas  podem  servisualizadas em Consulta de contas no botão Ocorrências. A ocorrência  deve  estar cadastrada.";"N";" ";0
"CPR     ";"ULTENVEMAILVENC";"Último dia que foi enviado email.";"";"Indica o último dia que foi enviado email com a notificação das contas a pagar vencida.";"D";" ";0
"CPR     ";"HISTORICOREC3  ";"Complemento históricos filtro relatório receita";"";"Pode ser informado os códigos dos históricos para serem filtrados no relatório de movimentação de receita do caixa. Informar os códigos separados por ; Ex: 1;5;150;3;4;";"C";" ";0
"CPR     ";"SNCONTAFORCANC ";"Perm reg contas pagar para fornecedores cancelados";"S";"Se este campo estiver preenchido com N não será permitido registrar contas a pagar para fornecedores cancelados. Caso o usuário informe um fornecedor cancelado durante o registro da conta a receber será mostrado uma mensagem de erro.";"S";" ";0
"CPR     ";"QTMINDIASATRASO";"Minimo Dias Atraso Quitação";"";"Pode ser preenchido com a quantidade mínima de dias em atraso para considerar como atrasada apenas  ascontas que estão vencidas a mais dias que o informado. Utilizado como critério para suspender clientesem atraso.";"N";" ";0
"CPR     ";"ESTCONCILIADORA";"Código do Estabelecimento na Conciliadora";"";"Deve ser preenchido com o código em que o estabelecimento esta registrado na conciliadora";"C";" ";0
"CPR     ";"NATUREZAPADPAG ";"Código da Natureza do Registro de Contas a Pagar";"01.00.00";"Pode ser informado o código da natureza para trazer preenchido como sugestão na tela de registro de contas a pagar. O sistema traz primeiro como sugestão o que está preenchido no cadastro de transação, caso este esteja em branco o sistema deve trazer a natureza deste parâmetro.";"C";" ";0
"CPR     ";"DIAFIXOREGCONTA";"Dia de Vencimento Fixo Registro Conta";"N";"Indica se o dia de vencimento é fixo ao registrar as diversas parcelas durante o registro das contas.Esta opção será utilizada apenas quando a quantidade de dias entre as parcelas for 30.";"S";" ";0
"CPR     ";"MODRECIBOCREC  ";"Modelo de Recibo para Conta a Receber";"12";"Deve ser preenchido com o código do modelo de recibo que deve ser impresso quando for efetuada uma baixa de conta a receber. Utilizado na baixa de conta a receber quando é emitido recibo.";"N";" ";0
"CPR     ";"LANACRATUBOLETO";"Lançamento de acréscimo de atualização de boleto";"";"Código do lançamento de acréscimo para atualização do boleto. Deve ser um código de lançamento de acréscimo para atualizar o valor da conta quando atualizar o valor do boleto para reenvio para o banco. 
Utilizado na tela de consultar boleto no botão atualizar valor/vencimento.";"N";" ";0
