 CEST;NCM/ST;Descricao CEST
0100100;38151210,38151290;CATALISADORES EM COLMEIA CERAMICA OU METALICA PARA CONVERSAO CATALITICA DE GASES DE ESCAPE DE VEICULOS E OUTROS CATALISADORES
0100200;39170000,39171010,39171021,39171029,39172100,39172200,39172300,39172900,39173100,39173210,39173221,39173229,39173230,39173240,39173251,39173259,39173290,39173300,39173900,39174010,39174090;TUBOS E SEUS ACESSORIOS (POR EXEMPLO, JUNTAS, COTOVELOS, FLANGES, UNIOES), DE PLASTICOS
0100300;39181000;PROTETORES DE CACAMBA
0100400;39233000;RESERVATORIOS DE OLEO
0100500;39263000;FRISOS, DECALQUES, MOLDURAS E ACABAMENTOS
0100600;40103000,40103100,40103200,40103300,40103400,40103500,40103600,40103900,59100000;CORREIAS DE TRANSMISSAO DE BORRACHA VULCANIZADA, DE MATERIAS TEXTEIS, MESMO IMPREGNADAS, REVESTIDAS OU RECOBERTAS, DE PLASTICO, OU ESTRATIFICADAS COM PLASTICO OU REFORCADAS COM METAL OU COM OUTRAS MATERIAS
0100700;40169300,48239090,48239091,48239099;JUNTAS, GAXETAS E OUTROS ELEMENTOS COM FUNCAO SEMELHANTE DE VEDACAO
0100800;40161010;PARTES DE VEICULOS AUTOMOVEIS, TRATORES E MAQUINAS AUTOPROPULSADAS
0100900;40169990,57050000;TAPETES, REVESTIMENTOS, MESMO CONFECCIONADOS, BATENTES, BUCHAS E COXINS
0101000;59039000;TECIDOS IMPREGNADOS, REVESTIDOS, RECOBERTOS OU ESTRATIFICADOS, COM PLASTICO
0101100;59090000;MANGUEIRAS E TUBOS SEMELHANTES, DE MATERIAS TEXTEIS, MESMO COM REFORCO OU ACESSORIOS DE OUTRAS MATERIAS
0101200;63061000,63061200,63061910,63061990;ENCERADOS E TOLDOS
0101300;65061000;CAPACETES E ARTEFATOS DE USO SEMELHANTE, DE PROTECAO, PARA USO EM MOTOCICLETAS, INCLUIDOS CICLOMOTORES
0101400;68130000,68132000,68138110,68138190,68138910,68138990;GUARNICOES DE FRICCAO (POR EXEMPLO, PLACAS, ROLOS, TIRAS, SEGMENTOS, DISCOS, ANEIS, PASTILHAS), NAO MONTADAS, PARA FREIOS, EMBREAGENS OU QUALQUER OUTRO MECANISMO DE FRICCAO, A BASE DE AMIANTO, DE OUTRAS SUBSTANCIAS MINERAIS OU DE CELULOSE, MESMO COMBINADAS COM TEXTEIS OU OUTRAS MATERIAS
0101500;70071100,70072100;VIDROS DE DIMENSOES E FORMATOS QUE PERMITAM APLICACAO AUTOMOTIVA
0101600;70091000;ESPELHOS RETROVISORES
0101700;70140000;LENTES DE FAROIS, LANTERNAS E OUTROS UTENSILIOS
0101800;73110000;CILINDRO DE ACO PARA GNV (GAS NATURAL VEICULAR)
0101900;73110000;RECIPIENTES PARA GASES COMPRIMIDOS OU LIQUEFEITOS, DE FERRO FUNDIDO, FERRO OU ACO, EXCETO O DESCRITO NO ITEM 18.0
0102000;73200000,73201000,73202010,73202090,73209000;MOLAS E FOLHAS DE MOLAS, DE FERRO OU ACO
0102100;73250000,73251000,73259100,73259910,73259990;OBRAS MOLDADAS, DE FERRO FUNDIDO, FERRO OU ACO, EXCETO AS DO CODIGO 7325.91.00
0102200;78060000,78060010,78060020,78060090;PESO DE CHUMBO PARA BALANCEAMENTO DE RODA
0102300;80070090;PESO PARA BALANCEAMENTO DE RODA E OUTROS UTENSILIOS DE ESTANHO
0102400;83012000,83016000;FECHADURAS E PARTES DE FECHADURAS
0102500;83017000;CHAVES APRESENTADAS ISOLADAMENTE
0102600;83021000,83023000;DOBRADICAS, GUARNICOES, FERRAGENS E ARTIGOS SEMELHANTES DE METAIS COMUNS
0102700;83100000;TRIANGULO DE SEGURANCA
0102800;84073000,84073110,84073190,84073200,84073310,84073390,84073410,84073490;MOTORES DE PISTAO ALTERNATIVO DOS TIPOS UTILIZADOS PARA PROPULSAO DE VEICULOS DO CAPITULO 87
0102900;84082000,84082010,84082020,84082030,84082090;MOTORES DOS TIPOS UTILIZADOS PARA PROPULSAO DE VEICULOS AUTOMOTORES
0103000;84099000,84099111,84099112,84099113,84099114,84099115,84099116,84099117,84099118,84099120,84099130,84099140,84099190,84099912,84099914,84099915,84099917,84099921,84099929,84099930,84099941,84099949,84099951,84099959,84099961,84099969,84099971,84099979,84099991,84099999;PARTES RECONHECIVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS AOS MOTORES DAS POSICOES 8407 OU 8408
0103100;84122000,84122110,84122190,84122900;MOTORES HIDRAULICOS
0103200;84133000,84133010,84133020,84133030,84133090;BOMBAS PARA COMBUSTIVEIS, LUBRIFICANTES OU LIQUIDOS DE ARREFECIMENTO, PROPRIAS PARA MOTORES DE IGNICAO POR CENTELHA OU POR COMPRESSAO
0103300;84141000;BOMBAS DE VACUO
0103400;84148010,84148011,84148012,84148013,84148019,84148020,84148021,84148022,84148029;COMPRESSORES E TURBOCOMPRESSORES DE AR
0103500;84139190,84149010,84149030,84149031,84149032,84149033,84149034,84149039;PARTES DAS BOMBAS, COMPRESSORES E TURBOCOMPRESSORES DOS CEST 01.032.00, 01.033.00 E 01.034.00
0103600;84152000,84152010,84152090;MAQUINAS E APARELHOS DE AR CONDICIONADO
0103700;84212300;APARELHOS PARA FILTRAR OLEOS MINERAIS NOS MOTORES DE IGNICAO POR CENTELHA OU POR COMPRESSAO
0103800;84212990;FILTROS A VACUO
0103900;84219000,84219110,84219191,84219199,84219910,84219920,84219991,84219999;PARTES DOS APARELHOS PARA FILTRAR OU DEPURAR LIQUIDOS OU GASES
0104000;84241000;EXTINTORES, MESMO CARREGADOS
0104100;84213100;FILTROS DE ENTRADA DE AR PARA MOTORES DE IGNICAO POR CENTELHA OU POR COMPRESSAO
0104200;84213920;DEPURADORES POR CONVERSAO CATALITICA DE GASES DE ESCAPE
0104300;84254200;MACACOS
0104400;84311010;PARTES PARA MACACOS DO CEST 01.043.00
0104500;84314920,84314921,84314922,84314923,84314929;PARTES RECONHECIVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS AS MAQUINAS AGRICOLAS OU RODOVIARIAS
0104501;84339090;PARTES RECONHECIVEIS COMO EXCLUSIVA OU PRINCIPALMENTE DESTINADAS AS MAQUINAS AGRICOLAS OU RODOVIARIAS
0104600;84811000;VALVULAS REDUTORAS DE PRESSAO
0104700;84812000,84812011,84812019,84812090;VALVULAS PARA TRANSMISSAO OLEO-HIDRAULICAS OU PNEUMATICAS
0104800;84818092;VALVULAS SOLENOIDES
0104900;84820000,84821010,84821090,84822010,84822090,84823000,84824000,84825010,84825090,84828000,84829111,84829119,84829120,84829130,84829190,84829910,84829990;ROLAMENTOS
0105000;84830000,84831011,84831019,84831020,84831030,84831040,84831050,84831090,84832000,84833010,84833021,84833029,84833090,84834010,84834090,84835010,84835090,84836011,84836019,84836090,84839000;ARVORES DE TRANSMISSAO (INCLUIDAS AS ARVORES DE OCAMES” E VIRABREQUINS) E MANIVELAS, MANCAIS E OBRONZES”, ENGRENAGENS E RODAS DE FRICCAO, EIXOS DE ESFERAS OU DE ROLETES, REDUTORES, MULTIPLICADORES, CAIXAS DE TRANSMISSAO E VARIADORES DE VELOCIDADE, INCLUIDOS OS CONVERSORES DE TORQUE, VOLANTES E POLIAS, INCLUIDAS AS POLIAS PARA CADERNAIS, EMBREAGENS E DISPOSITIVOS DE ACOPLAMENTO, INCLUIDAS AS JUNTAS DE ARTICULACAO
0105100;84840000,84841000,84842000,84849000;JUNTAS METALOPLASTICAS, JOGOS OU SORTIDOS DE JUNTAS DE COMPOSICOES DIFERENTES, APRESENTADOS EM BOLSAS, ENVELOPES OU EMBALAGENS SEMELHANTES, JUNTAS DE VEDACAO MECANICAS (SELOS MECANICOS)
0105200;85052000,85052010,85052090;ACOPLAMENTOS, EMBREAGENS, VARIADORES DE VELOCIDADE E FREIOS, ELETROMAGNETICOS
0105300;85071000,85071010,85071090;ACUMULADORES ELETRICOS DE CHUMBO, DO TIPO UTILIZADO PARA O ARRANQUE DOS MOTORES DE PISTAO
0105301;85071010;ACUMULADORES ELETRICOS DE CHUMBO, DO TIPO UTILIZADO PARA O ARRANQUE DOS MOTORES DE PISTAO E DE CAPACIDADE INFERIOR A 20 AH E TENSAO INFERIOR OU IGUAL A 12 V;
